observation_id,source_id,dataset_version,source_table,experiment,strain_or_population,replicate,generation,environment,measurement_kind,measurement_value,measurement_lower,measurement_upper,uncertainty_type,uncertainty_level,measurement_units,mutation_rate_multiplier,mutation_rate_multiplier_lower,mutation_rate_multiplier_upper,mutation_rate_multiplier_uncertainty_type,fitness_control,fitness_control_description,raw_source_file,method_notes,curation_notes,calibration_role
sprouffske_2018_s3_mrs_ancestor_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRS,Ancestor,0,DM1000 original selected environment,genomic_mutation_rate_U,0.00034,0.00025,0.00045,interval,95% confidence interval,mutations per genome per cell generation,1,1,1,control_definition,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrs_rep1_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRS,1,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00025,0.00017,0.00037,interval,95% confidence interval,mutations per genome per cell generation,0.735294117647,0.377777777778,1.48,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrs_rep2_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRS,2,3000,DM1000 original selected environment,genomic_mutation_rate_U,5e-05,2e-05,0.00014,interval,95% confidence interval,mutations per genome per cell generation,0.147058823529,0.0444444444444,0.56,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrs_rep4_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRS,4,3000,DM1000 original selected environment,genomic_mutation_rate_U,7e-05,3e-05,0.00017,interval,95% confidence interval,mutations per genome per cell generation,0.205882352941,0.0666666666667,0.68,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrs_rep5_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRS,5,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00031,0.00021,0.00048,interval,95% confidence interval,mutations per genome per cell generation,0.911764705882,0.466666666667,1.92,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrs_rep6_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRS,6,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00336,0.00267,0.00423,interval,95% confidence interval,mutations per genome per cell generation,9.88235294118,5.93333333333,16.92,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrs_rep8_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRS,8,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00011,7e-05,0.00017,interval,95% confidence interval,mutations per genome per cell generation,0.323529411765,0.155555555556,0.68,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrm_ancestor_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRM,Ancestor,0,DM1000 original selected environment,genomic_mutation_rate_U,0.00235,0.00165,0.00332,interval,95% confidence interval,mutations per genome per cell generation,6.91176470588,3.66666666667,13.28,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrm_rep1_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRM,1,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00138,0.00109,0.00175,interval,95% confidence interval,mutations per genome per cell generation,4.05882352941,2.42222222222,7,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrm_rep2_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRM,2,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00082,0.00047,0.00143,interval,95% confidence interval,mutations per genome per cell generation,2.41176470588,1.04444444444,5.72,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
