strain	rep	gen	batch	r	k	n0	auc	sigma
S	0	0	1	1.30407	0.30396	3.7651e-08	1.81224	0.01055
S	0	0	1	1.27785	0.31478	5.6987e-08	1.88709	0.01005
S	0	0	1	1.35337	0.29601	2.4778e-08	1.83676	0.01226
M	0	0	1	1.29702	0.28446	1.1273e-07	1.97103	0.01066
M	0	0	1	1.29286	0.30348	1.0224e-07	2.00651	0.00957
M	0	0	1	1.26692	0.31222	6.7436e-08	1.87833	0.00952
L	0	0	1	0.93703	0.30972	1.1977e-06	1.51618	0.01113
L	0	0	1	0.63705	0.32492	6.7333e-05	1.67116	0.01745
L	0	0	1	1.07475	0.28995	1.6386e-07	1.38866	0.00968
X	0	0	1	1.21782	0.32655	3.4326e-07	2.24004	0.01303
X	0	0	1	1.34520	0.35365	4.3894e-08	2.25834	0.01394
X	0	0	1	1.14091	0.34772	6.0073e-07	2.27167	0.01372
S	1	465	1	1.17465	0.28852	6.2428e-07	2.17628	0.01981
S	2	465	1	1.30457	0.28155	1.2902e-07	1.96629	0.00875
S	3	465	1	1.16645	0.30882	3.6083e-07	2.02518	0.01175
S	4	465	1	1.20683	0.29701	1.9123e-07	1.95509	0.01354
S	5	465	1	1.30205	0.30038	5.0709e-08	1.84971	0.00955
S	6	465	1	1.31157	0.30490	4.2675e-08	1.86225	0.01014
S	7	465	1	1.20348	0.30034	1.5934e-07	1.89066	0.01095
S	8	465	1	1.23347	0.30780	7.8848e-08	1.80430	0.00944
M	1	465	1	1.32593	0.30676	4.3780e-08	1.91420	0.01008
M	2	465	1	1.24144	0.28949	2.1835e-07	1.97953	0.00834
M	3	465	1	1.34433	0.29700	4.4427e-08	1.91770	0.00964
M	4	465	1	1.04333	0.30608	2.4585e-06	2.37984	0.02951
M	5	465	1	1.33865	0.31147	3.6583e-08	1.93557	0.01027
M	6	465	1	1.34763	0.31119	3.5660e-08	1.96427	0.01066
M	7	465	1	1.30206	0.29744	9.4018e-08	1.99934	0.01091
M	8	465	1	1.27784	0.32212	8.8376e-08	2.02741	0.00988
L	1	465	1	1.32260	0.28510	1.3432e-07	2.02924	0.00828
L	2	465	1	1.18652	0.32891	2.1932e-07	2.04787	0.01139
L	3	465	1	1.31129	0.29450	4.8116e-08	1.83830	0.00995
L	4	465	1	1.18970	0.30595	3.0600e-07	2.04923	0.01196
L	5	465	1	1.36871	0.29764	4.6013e-08	1.99933	0.00991
L	6	465	1	1.21792	0.27677	1.7029e-07	1.78198	0.01052
L	7	465	1	1.15440	0.30369	6.5557e-07	2.18166	0.01576
L	8	465	1	1.30392	0.29751	6.0401e-08	1.88362	0.00986
X	1	465	1	1.57906	0.32337	3.1509e-08	2.57240	0.01072
X	2	465	1	1.52491	0.34556	4.7440e-08	2.86032	0.02706
X	3	465	1	1.87752	0.35736	1.8285e-09	2.89829	0.03211
X	4	465	1	2.00064	0.34221	2.2026e-10	2.65022	0.03404
X	5	465	1	1.54795	0.36051	5.1866e-08	3.04188	0.02645
